date,open,high,low,close,volume
2019-01-01,2.492541364975869,2.513431213815467,2.47407614057923,2.492541364975869,4367337
2019-01-02,2.4850548405384623,2.4987286528513697,2.4790494935883576,2.4850548405384623,9685743
2019-01-03,2.4835140231665735,2.496084455665798,2.465872110132832,2.4835140231665735,4234271
2019-01-04,2.460013730214414,2.464595483795992,2.4541399052169135,2.460013730214414,7516728
2019-01-07,2.458020096551532,2.4805538207647655,2.4335788172549386,2.458020096551532,1078176
2019-01-08,2.432894987583097,2.450400024937775,2.4327028328587414,2.432894987583097,8839998
2019-01-09,2.4413563887474736,2.4433773842136923,2.4210424126071732,2.4413563887474736,5135672
2019-01-10,2.464745769626812,2.489391143093673,2.453054387511444,2.464745769626812,4193945
2019-01-11,2.472003847589658,2.4946205725845805,2.4693559852243383,2.472003847589658,5325897
2019-01-14,2.4660075515477335,2.4674156387468353,2.4466146618807008,2.4660075515477335,2472892
2019-01-15,2.4663697733181413,2.484707222725742,2.461943906290218,2.4663697733181413,6565272
2019-01-16,2.489239870916112,2.4992442252554508,2.4882593348539475,2.489239870916112,4031187
2019-01-17,2.4746554073509146,2.499260592845557,2.4592870837312857,2.4746554073509146,3766759
2019-01-18,2.459986124596649,2.482369483935756,2.459591347247655,2.459986124596649,8656220
2019-01-21,2.48323408807567,2.49211653118064,2.4667540101758147,2.48323408807567,4477497
2019-01-22,2.4939430438535464,2.511673550398971,2.4828604824692744,2.4939430438535464,6359760
2019-01-23,2.4823849344786386,2.5029966099854803,2.4773589865221113,2.4823849344786386,4616992
2019-01-24,2.504401837962604,2.523825626196841,2.482293200012776,2.504401837962604,5615117
2019-01-25,2.4764948449295545,2.491601636106024,2.473476952122308,2.4764948449295545,4307922
2019-01-28,2.4647318416981583,2.469076695175905,2.4536857455702057,2.4647318416981583,6494032
2019-01-29,2.4908543077600283,2.4937927287897,2.4667884603234285,2.4908543077600283,6971014
2019-01-30,2.483660829372419,2.507057154515907,2.458996243762889,2.483660829372419,9125823
2019-01-31,2.482543713896157,2.505897963530568,2.4739067070679237,2.482543713896157,4439527
2019-02-01,2.4737165325127557,2.4861931329895506,2.4718329171022453,2.4737165325127557,8730888
2019-02-04,2.451421135003767,2.4665062850340753,2.4280101068088182,2.451421135003767,2247464
2019-02-05,2.4618663060072357,2.4691327826997864,2.458913535966194,2.4618663060072357,2515942
2019-02-06,2.417307428253141,2.432200230127243,2.3939520305536304,2.417307428253141,1306452
2019-02-07,2.4266856300192323,2.432942566305691,2.416253559370215,2.4266856300192323,1154096
2019-02-08,2.453796129983145,2.4543486974968367,2.4445109984824978,2.453796129983145,4750917
2019-02-11,2.4652661401983824,2.4786301866741605,2.4586515605467043,2.4652661401983824,2347489
2019-02-12,2.4341147562029635,2.4482645489104526,2.4320268534672786,2.4341147562029635,4525516
2019-02-13,2.4776985998062457,2.483777356660883,2.4702887576946364,2.4776985998062457,8152046
2019-02-14,2.460771674045892,2.477090020036486,2.452240554117324,2.460771674045892,8446911
2019-02-15,2.467685938888609,2.4733580989216115,2.4516652551217892,2.467685938888609,7295869
2019-02-18,2.4254620683189074,2.4380406402656614,2.4082161033697638,2.4254620683189074,7653933
2019-02-19,2.4509754488744333,2.473753883759124,2.4483778096590716,2.4509754488744333,4353116
2019-02-20,2.393732055565292,2.415096693650583,2.3823356739505117,2.393732055565292,4747556
2019-02-21,2.3585978834474663,2.3658622629872736,2.3568917955650472,2.3585978834474663,8374411
2019-02-22,2.341478169904258,2.3624164853816496,2.3260351846193115,2.341478169904258,4345993
2019-02-25,2.334695709961016,2.353905237998753,2.334371451893959,2.334695709961016,7415436
2019-02-26,2.344271729770525,2.3536375471273066,2.325281270104902,2.344271729770525,7053866
2019-02-27,2.3393915345557565,2.3418444437215857,2.318647686291632,2.3393915345557565,1641981
2019-02-28,2.364940344752256,2.3669179559933973,2.360416828344192,2.364940344752256,9431126
2019-03-01,2.375619183336,2.3901570340862692,2.3702108792893153,2.375619183336,5327926
2019-03-04,2.3743043942109994,2.3871307608390984,2.3667592429860287,2.3743043942109994,6287957
2019-03-05,2.3731031794543793,2.3854598355050154,2.3590060075016215,2.3731031794543793,7341482
2019-03-06,2.368128077232739,2.3899245661610538,2.353437682706888,2.368128077232739,3651117
2019-03-07,2.380843924393365,2.4031128945182245,2.3671211489834763,2.380843924393365,4982825
2019-03-08,2.368515080222164,2.3749593970929976,2.3601041391907485,2.368515080222164,8707814
2019-03-11,2.396039587469189,2.414026309844393,2.384421208572536,2.396039587469189,3449337
2019-03-12,2.4164421613822897,2.431570778825005,2.41374693409522,2.4164421613822897,6381952
2019-03-13,2.4321898947144645,2.433501557457004,2.4188064516101133,2.4321898947144645,7569460
2019-03-14,2.420268154240701,2.4402484900432033,2.407700413181435,2.420268154240701,4959950
2019-03-15,2.405650678934325,2.4256026377220117,2.3923023585395717,2.405650678934325,5150052
2019-03-18,2.406801404526506,2.420904985282452,2.386155785110013,2.406801404526506,3834668
2019-03-19,2.3888239821067216,2.3899655609538133,2.382899279330883,2.3888239821067216,8090615
2019-03-20,2.4069606442695313,2.4079993121941454,2.3849420692099077,2.4069606442695313,6741679
2019-03-21,2.404224208239656,2.4060173173966257,2.388843181912413,2.404224208239656,5867728
2019-03-22,2.414741795172194,2.415048347880157,2.396556060486096,2.414741795172194,8840299
2019-03-25,2.397366516398289,2.4044392397106087,2.3746774433488933,2.397366516398289,5936532
2019-03-26,2.3716064850160308,2.3805757885700727,2.3494759797762725,2.3716064850160308,9871579
2019-03-27,2.3459066062533687,2.3673512315023837,2.3328770402965135,2.3459066062533687,6376635
2019-03-28,2.3708521793501065,2.3712258456662716,2.3483413419424584,2.3708521793501065,5043668
2019-03-29,2.3586735545667454,2.3606986820619156,2.341191276008142,2.3586735545667454,6889766
2019-04-01,2.3355168621199147,2.3479341155854025,2.328472337317954,2.3355168621199147,9218320
2019-04-02,2.35586971337675,2.366705796233251,2.3547989438734853,2.35586971337675,8471740
2019-04-03,2.366656527787605,2.369113606458772,2.3502286387656257,2.366656527787605,5270800
2019-04-04,2.357439777356553,2.359722258450617,2.3457317913628835,2.357439777356553,3118652
2019-04-05,2.3473855533006547,2.3621602279752785,2.345798313968714,2.3473855533006547,6880706
2019-04-08,2.32859786506522,2.340348053505057,2.312191055767168,2.32859786506522,2682612
2019-04-09,2.292044547412269,2.3097861444923047,2.2769879326316427,2.292044547412269,9221579
2019-04-10,2.294930565253948,2.3043174992479916,2.2834250075933773,2.294930565253948,6361664
2019-04-11,2.2944870360268683,2.3040552670752836,2.2746000593129496,2.2944870360268683,1913780
2019-04-12,2.33267401910862,2.350850164224788,2.321256998174922,2.33267401910862,4477593
2019-04-15,2.3518299837160224,2.353300444255721,2.349161639275804,2.3518299837160224,1003891
2019-04-16,2.3544093082276314,2.3718573828989,2.3327096224443116,2.3544093082276314,3529241
2019-04-17,2.3554714454189005,2.3632927033514837,2.3481106808265135,2.3554714454189005,3493550
2019-04-18,2.3561325416874053,2.368557894991066,2.347557649234293,2.3561325416874053,5282793
2019-04-19,2.3634042040628254,2.3832420573124242,2.3474873907892335,2.3634042040628254,5564241
